Facility_ID,Overall Rating,Recommendation Score,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness
100292,91,92,92,91,86,76,87,81,88,85
100296,88,88,88,92,80,73,86,83,88,82
100299,86,86,91,88,82,73,84,79,86,77
100302,83,81,89,89,79,69,81,76,83,74
100307,86,86,90,89,83,72,86,81,83,81
100314,89,88,91,91,80,76,85,84,88,86
100315,90,91,92,91,84,75,84,82,88,86
100316,85,85,89,89,77,70,80,78,84,81
100319,90,90,92,90,86,78,88,82,89,88
100320,83,82,87,86,77,65,78,76,86,86
100321,87,87,89,88,79,71,84,79,88,80
100329,89,89,91,90,84,75,84,81,91,85
100330,85,86,87,87,78,73,81,79,86,89
100350,91,91,92,93,84,77,83,82,90,88
100359,93,94,93,91,87,76,88,82,89,86
100360,88,86,89,87,80,69,80,79,91,86
100361,92,92,94,92,85,77,91,84,86,87
100362,93,92,93,93,87,81,87,84,95,93
10057F,90,90,92,91,87,82,87,85,85,87
10063F,91,91,93,93,87,81,87,86,86,83
10064F,89,87,90,92,82,76,84,83,89,85
10065F,89,88,88,90,80,72,84,81,88,79
10099F,91,92,94,94,85,83,89,86,88,81
110001,87,85,91,89,84,74,86,80,84,81
110002,90,88,91,90,85,75,87,81,90,87
110003,87,85,91,90,86,72,86,80,90,86
110005,91,91,90,90,80,73,89,82,92,86
110006,89,89,91,90,80,75,83,82,80,84
110007,82,80,87,89,79,72,83,77,83,85
110008,93,94,93,91,86,78,88,83,93,86
110010,91,91,90,93,82,76,86,83,89,89
110011,89,89,93,91,85,79,88,83,88,85
110015,90,90,91,89,83,75,87,81,89,84
110016,89,88,94,93,85,79,89,82,89,83
110018,85,82,90,91,78,71,79,77,82,82
110023,89,89,92,93,83,77,85,81,88,88
110024,87,86,89,91,80,74,84,80,82,80
110025,85,82,88,89,80,73,83,78,81,82
110027,90,88,92,92,87,78,90,81,92,90
110028,84,83,88,90,76,70,81,78,82,84
110029,85,84,87,88,76,70,84,79,77,76
110030,84,82,88,86,80,71,77,75,84,83
110031,85,81,89,87,79,71,85,78,80,82
110032,87,85,93,89,83,76,86,82,88,88
110034,85,84,88,90,75,74,85,79,80,79
110035,83,82,87,89,76,66,83,77,83,77
110036,81,80,87,88,76,71,81,77,76,77
110038,87,85,89,90,79,73,82,78,82,87
110041,85,86,90,90,83,73,83,75,85,80
110042,93,92,93,93,82,76,86,85,86,86
110043,90,90,92,92,83,75,86,82,84,82
110044,87,84,91,90,84,74,87,79,86,89
110045,88,87,93,91,87,75,85,79,88,89
110046,87,85,89,90,82,70,83,79,84,84
110050,91,89,95,95,93,83,88,83,86,91
110051,91,92,93,92,87,79,90,83,88,84
110054,87,86,90,89,80,74,84,79,82,84
110064,87,84,91,91,80,74,81,80,85,81
110069,85,82,88,88,77,72,84,78,83,83
110074,90,90,92,91,84,76,85,81,82,85
110075,88,85,91,91,87,75,86,80,87,86
110076,83,79,87,89,72,68,75,74,81,84
110078,85,84,87,91,77,71,81,78,80,82
110079,86,85,87,90,76,71,80,77,82,73
110082,88,88,88,90,78,71,81,80,81,78
110083,88,89,88,91,78,74,85,81,83,84
110087,87,87,89,88,80,73,85,80,89,84
110089,88,83,89,89,85,74,86,81,87,87
110091,83,80,87,89,77,70,79,74,86,84
110092,91,90,94,97,91,89,89,83,88,89
110095,87,86,91,91,83,75,83,79,80,88
110100,87,85,93,94,87,63,73,77,84,91
110104,89,87,92,93,84,75,83,81,91,87
110105,92,90,93,93,87,76,85,81,88,88
110107,82,81,86,88,72,70,78,76,79,83
110109,91,89,94,94,92,80,88,81,95,90
